embedding,probe,score,conformal,alpha,eval,n_cal,n_eval,marginal_cov,tb_cov,nontb_cov,mean_size,singleton,empty,disparity,marg_lo95,marg_hi95,tb_lo95,tb_hi95
biomedclip,mlp,isotonic,Mondrian,0.2,pakistan_ext,1260,3008,0.9618,0.9775,0.8852,1.2417,0.7583,0.0,0.0923,,,,
torchxrayvision,linear,raw,APS,0.05,tbx11k_test,1260,5879,0.9607,0.9982,0.9568,1.9172,0.0828,0.0,0.0414,0.9445,0.9677,0.9928,0.9982
torchxrayvision,linear,raw,APS,0.05,pakistan_ext,1260,3008,0.9688,0.9743,0.9416,1.6642,0.3358,0.0,0.0327,,,,
torchxrayvision,linear,raw,Mondrian,0.05,tbx11k_test,1260,5879,0.9578,0.9356,0.9602,1.6744,0.3256,0.0,0.0246,0.9452,0.9677,0.8927,0.9606
torchxrayvision,linear,raw,Mondrian,0.05,pakistan_ext,1260,3008,0.8763,0.8585,0.963,1.5672,0.4328,0.0,0.1046,,,,
torchxrayvision,linear,raw,APS,0.1,tbx11k_test,1260,5879,0.9119,0.9821,0.9045,1.8006,0.1994,0.0,0.0776,0.8809,0.9241,0.975,0.9911
torchxrayvision,linear,raw,APS,0.1,pakistan_ext,1260,3008,0.9189,0.9334,0.8482,1.5037,0.4963,0.0,0.0852,,,,
torchxrayvision,linear,raw,Mondrian,0.1,tbx11k_test,1260,5879,0.9109,0.8909,0.913,1.4674,0.5326,0.0,0.0221,0.8925,0.9228,0.8444,0.9284
torchxrayvision,linear,raw,Mondrian,0.1,pakistan_ext,1260,3008,0.8198,0.8079,0.8774,1.3963,0.6037,0.0,0.0695,,,,
torchxrayvision,linear,raw,APS,0.2,tbx11k_test,1260,5879,0.8005,0.9392,0.7859,1.5035,0.4965,0.0,0.1533,0.785,0.8233,0.9302,0.9481
torchxrayvision,linear,raw,APS,0.2,pakistan_ext,1260,3008,0.8158,0.8661,0.572,1.2746,0.7254,0.0,0.2941,,,,
torchxrayvision,linear,raw,Mondrian,0.2,tbx11k_test,1260,5879,0.8047,0.8122,0.8039,1.1725,0.8275,0.0,0.0082,0.7818,0.8253,0.7136,0.8658
torchxrayvision,linear,raw,Mondrian,0.2,pakistan_ext,1260,3008,0.7131,0.7334,0.6148,1.1403,0.8597,0.0,0.1186,,,,
torchxrayvision,linear,isotonic,APS,0.05,tbx11k_test,1260,5879,0.9656,0.653,0.9985,1.2225,0.7775,0.0,0.3455,0.944,0.9656,0.4293,0.653
torchxrayvision,linear,isotonic,APS,0.05,pakistan_ext,1260,3008,0.6739,0.6067,1.0,1.5219,0.4781,0.0,0.3933,,,,
torchxrayvision,linear,isotonic,Mondrian,0.05,tbx11k_test,1260,5879,0.985,0.9374,0.99,1.7292,0.2708,0.0,0.0526,0.9844,0.9895,0.9302,0.9839
torchxrayvision,linear,isotonic,Mondrian,0.05,pakistan_ext,1260,3008,0.884,0.8605,0.9981,1.7174,0.2826,0.0,0.1376,,,,
torchxrayvision,linear,isotonic,APS,0.1,tbx11k_test,1260,5879,0.9073,0.0787,0.9944,1.0,1.0,0.0,0.9156,0.8974,0.944,0.0161,0.4293
