embedding,fpr,tpr
rad_dino,0.306579,0.910555
rad_dino,0.307895,0.910555
rad_dino,0.307895,0.912343
rad_dino,0.321429,0.912343
rad_dino,0.321429,0.914132
rad_dino,0.324624,0.914132
rad_dino,0.324624,0.915921
rad_dino,0.325188,0.915921
rad_dino,0.325188,0.91771
rad_dino,0.331767,0.91771
rad_dino,0.331767,0.919499
rad_dino,0.332895,0.919499
rad_dino,0.332895,0.921288
rad_dino,0.336466,0.921288
rad_dino,0.336466,0.923077
rad_dino,0.337594,0.923077
rad_dino,0.33797,0.923077
rad_dino,0.339286,0.923077
rad_dino,0.339286,0.924866
rad_dino,0.342105,0.924866
rad_dino,0.342481,0.924866
rad_dino,0.346617,0.924866
rad_dino,0.346617,0.926655
rad_dino,0.348308,0.926655
rad_dino,0.348684,0.926655
rad_dino,0.355451,0.926655
rad_dino,0.355451,0.928444
rad_dino,0.359586,0.928444
rad_dino,0.359586,0.930233
rad_dino,0.36485,0.930233
rad_dino,0.36485,0.932021
rad_dino,0.373872,0.932021
rad_dino,0.373872,0.93381
rad_dino,0.380639,0.93381
rad_dino,0.381015,0.93381
rad_dino,0.383459,0.93381
rad_dino,0.383459,0.935599
rad_dino,0.395865,0.935599
rad_dino,0.395865,0.937388
rad_dino,0.39718,0.937388
rad_dino,0.397556,0.937388
rad_dino,0.400564,0.937388
rad_dino,0.400564,0.939177
rad_dino,0.404511,0.939177
rad_dino,0.404511,0.940966
rad_dino,0.41109,0.940966
rad_dino,0.411466,0.940966
rad_dino,0.411654,0.940966
rad_dino,0.41203,0.940966
rad_dino,0.416353,0.940966
rad_dino,0.416729,0.940966
rad_dino,0.420113,0.940966
rad_dino,0.420113,0.942755
rad_dino,0.422932,0.942755
rad_dino,0.422932,0.944544
rad_dino,0.423872,0.944544
rad_dino,0.423872,0.946333
rad_dino,0.428008,0.946333
rad_dino,0.428383,0.946333
rad_dino,0.43515,0.946333
rad_dino,0.43515,0.949911
rad_dino,0.438534,0.949911
rad_dino,0.438534,0.951699
rad_dino,0.440414,0.951699
rad_dino,0.440414,0.953488
rad_dino,0.443421,0.953488
rad_dino,0.443421,0.955277
rad_dino,0.445301,0.955277
rad_dino,0.445677,0.955277
rad_dino,0.446429,0.955277
rad_dino,0.446429,0.957066
rad_dino,0.459774,0.957066
rad_dino,0.459774,0.958855
rad_dino,0.474624,0.958855
rad_dino,0.474624,0.960644
rad_dino,0.478947,0.960644
rad_dino,0.478947,0.962433
rad_dino,0.481579,0.962433
rad_dino,0.481579,0.964222
rad_dino,0.492293,0.964222
rad_dino,0.492293,0.966011
rad_dino,0.494925,0.966011
rad_dino,0.494925,0.9678
rad_dino,0.496617,0.9678
rad_dino,0.496617,0.969589
rad_dino,0.497368,0.969589
rad_dino,0.497744,0.969589
rad_dino,0.508647,0.969589
rad_dino,0.508647,0.971377
rad_dino,0.510902,0.971377
rad_dino,0.510902,0.973166
rad_dino,0.51297,0.973166
rad_dino,0.51297,0.974955
rad_dino,0.515977,0.974955
rad_dino,0.515977,0.976744
rad_dino,0.520489,0.976744
rad_dino,0.521241,0.976744
rad_dino,0.521429,0.976744
rad_dino,0.521805,0.976744
rad_dino,0.522556,0.976744
rad_dino,0.522932,0.976744
rad_dino,0.525,0.976744
rad_dino,0.525,0.978533
rad_dino,0.526504,0.978533
rad_dino,0.52688,0.978533
rad_dino,0.543985,0.978533
rad_dino,0.543985,0.980322
rad_dino,0.553195,0.980322
rad_dino,0.553195,0.982111
rad_dino,0.567293,0.982111
rad_dino,0.567669,0.982111
rad_dino,0.569173,0.982111
rad_dino,0.569173,0.9839
rad_dino,0.569549,0.9839
rad_dino,0.569925,0.9839
rad_dino,0.573308,0.9839
rad_dino,0.573684,0.9839
rad_dino,0.576316,0.9839
rad_dino,0.576316,0.985689
rad_dino,0.577068,0.985689
rad_dino,0.577444,0.985689
rad_dino,0.618045,0.985689
rad_dino,0.618421,0.985689
rad_dino,0.620677,0.985689
rad_dino,0.621053,0.985689
rad_dino,0.628008,0.985689
rad_dino,0.628008,0.987478
