embedding,recall,precision
biomedclip,0.924866,0.131787
biomedclip,0.924866,0.132157
biomedclip,0.921288,0.132017
biomedclip,0.91771,0.131877
biomedclip,0.91771,0.132251
biomedclip,0.91771,0.132627
biomedclip,0.915921,0.132746
biomedclip,0.915921,0.133125
biomedclip,0.914132,0.133246
biomedclip,0.914132,0.13363
biomedclip,0.912343,0.133753
biomedclip,0.910555,0.133877
biomedclip,0.910555,0.134265
biomedclip,0.910555,0.134656
biomedclip,0.910555,0.135049
biomedclip,0.908766,0.135178
biomedclip,0.908766,0.135575
biomedclip,0.908766,0.135974
biomedclip,0.908766,0.136376
biomedclip,0.906977,0.136511
biomedclip,0.906977,0.136916
biomedclip,0.906977,0.137324
biomedclip,0.905188,0.137463
biomedclip,0.903399,0.13764
biomedclip,0.90161,0.13778
biomedclip,0.90161,0.138196
biomedclip,0.899821,0.138339
biomedclip,0.899821,0.138759
biomedclip,0.899821,0.139181
biomedclip,0.899821,0.139606
biomedclip,0.899821,0.140033
biomedclip,0.899821,0.140503
biomedclip,0.899821,0.140936
biomedclip,0.898032,0.141091
biomedclip,0.896243,0.141246
biomedclip,0.896243,0.141686
biomedclip,0.894454,0.141844
biomedclip,0.894454,0.142288
biomedclip,0.892665,0.142449
biomedclip,0.892665,0.142898
biomedclip,0.892665,0.14335
biomedclip,0.892665,0.143804
biomedclip,0.890877,0.143972
biomedclip,0.889088,0.144142
biomedclip,0.887299,0.144312
biomedclip,0.887299,0.144775
biomedclip,0.88551,0.144949
biomedclip,0.88551,0.145417
biomedclip,0.88551,0.145889
biomedclip,0.883721,0.146067
biomedclip,0.883721,0.146544
biomedclip,0.881932,0.146726
biomedclip,0.881932,0.147208
biomedclip,0.881932,0.147693
biomedclip,0.881932,0.148182
biomedclip,0.881932,0.148673
biomedclip,0.880143,0.14891
biomedclip,0.880143,0.149408
biomedclip,0.880143,0.149909
biomedclip,0.880143,0.150413
biomedclip,0.880143,0.15092
biomedclip,0.878354,0.151123
biomedclip,0.878354,0.151637
biomedclip,0.878354,0.152154
biomedclip,0.874776,0.152052
biomedclip,0.874776,0.152574
biomedclip,0.874776,0.1531
biomedclip,0.874776,0.153629
biomedclip,0.874776,0.154161
biomedclip,0.86941,0.153797
biomedclip,0.86941,0.154335
biomedclip,0.867621,0.154557
biomedclip,0.865832,0.15483
biomedclip,0.864043,0.155056
biomedclip,0.864043,0.155606
biomedclip,0.864043,0.15621
biomedclip,0.864043,0.156767
biomedclip,0.864043,0.157329
biomedclip,0.862254,0.157568
biomedclip,0.862254,0.158136
biomedclip,0.862254,0.158709
biomedclip,0.862254,0.159286
biomedclip,0.862254,0.159867
biomedclip,0.862254,0.160506
biomedclip,0.860465,0.160762
biomedclip,0.860465,0.161355
biomedclip,0.858676,0.161616
biomedclip,0.858676,0.162217
biomedclip,0.856887,0.162483
biomedclip,0.856887,0.163092
biomedclip,0.856887,0.163705
biomedclip,0.856887,0.164322
biomedclip,0.856887,0.165002
biomedclip,0.856887,0.165629
biomedclip,0.855098,0.165972
biomedclip,0.855098,0.166609
biomedclip,0.853309,0.1669
biomedclip,0.853309,0.167545
biomedclip,0.853309,0.168195
biomedclip,0.849732,0.168201
biomedclip,0.849732,0.168859
biomedclip,0.847943,0.169165
biomedclip,0.844365,0.169115
biomedclip,0.840787,0.169065
biomedclip,0.840787,0.169736
biomedclip,0.840787,0.170413
biomedclip,0.840787,0.171096
biomedclip,0.840787,0.171784
biomedclip,0.840787,0.17254
biomedclip,0.838998,0.172871
biomedclip,0.837209,0.173205
biomedclip,0.837209,0.173913
biomedclip,0.837209,0.174692
biomedclip,0.837209,0.175478
biomedclip,0.837209,0.176271
biomedclip,0.837209,0.177005
biomedclip,0.83542,0.177364
biomedclip,0.83542,0.178108
biomedclip,0.833631,0.178476
biomedclip,0.833631,0.179231
biomedclip,0.833631,0.179992
biomedclip,0.833631,0.18083
biomedclip,0.833631,0.181606
biomedclip,0.831843,0.182067
biomedclip,0.830054,0.182462
biomedclip,0.828265,0.182859
biomedclip,0.828265,0.183657
biomedclip,0.824687,0.183665
biomedclip,0.822898,0.184074
biomedclip,0.821109,0.184486
biomedclip,0.821109,0.18538
biomedclip,0.821109,0.186207
biomedclip,0.821109,0.187042
biomedclip,0.821109,0.187884
biomedclip,0.821109,0.188811
biomedclip,0.817531,0.188999
biomedclip,0.815742,0.189447
biomedclip,0.813953,0.1899
biomedclip,0.813953,0.190776
biomedclip,0.812165,0.191238
biomedclip,0.810376,0.191705
biomedclip,0.810376,0.192602
biomedclip,0.810376,0.193507
biomedclip,0.808587,0.193991
biomedclip,0.808587,0.194912
biomedclip,0.808587,0.195841
biomedclip,0.806798,0.196429
biomedclip,0.806798,0.197374
biomedclip,0.806798,0.198329
biomedclip,0.80322,0.198409
biomedclip,0.80322,0.199378
biomedclip,0.80322,0.200446
biomedclip,0.80322,0.201436
biomedclip,0.801431,0.201984
biomedclip,0.801431,0.203083
biomedclip,0.799642,0.203645
biomedclip,0.794275,0.20339
biomedclip,0.794275,0.20442
biomedclip,0.794275,0.20546
biomedclip,0.794275,0.206512
biomedclip,0.792487,0.207106
biomedclip,0.788909,0.207237
biomedclip,0.78712,0.207841
biomedclip,0.78712,0.208927
biomedclip,0.78712,0.210024
biomedclip,0.783542,0.210173
biomedclip,0.781753,0.210806
